ID Number,First Name,Middle Name,Last Name,User Classification,Email Address,Contact Number,Year Level,Course,Street,Barangay,City/Municipality,Province,Postal Code
643234,Mackenzie,Rodriquez,Russo,Admin,mack@email.com,9123456789,NA,NA,,Libis,Calapan City,Oriental Mindoro,5200
234688,Alena,Morrow,Frederick,Admin,alen@email.com,9123456789,NA,NA,,Ilaya,Calapan City,Oriental Mindoro,5200
3453779,Theia,Merritt,Preston,Library Staff,thei@email.com,9123456789,NA,NA,,Calero,Calapan City,Oriental Mindoro,5200
353454,Mikayla ,Clarkson,Naylor,Library Staff,mika@email.com,9123456789,NA,NA,,Balite,Calapan City,Oriental Mindoro,5200
222445,Hudson ,Bass,Orr,Teacher,huds@email.com,9123456789,NA,NA,,Batino,Calapan City,Oriental Mindoro,5200
2323222,Cohan ,Smyth,Escobar,Teacher,coha@email.com,9123456789,NA,NA,,Bulusan,Calapan City,Oriental Mindoro,5200
18-0123,Izabella ,Doyle,Whitley,Student,izab@email.com,9123456789,4th Year,BSIS,,San Vicente East,Calapan City,Oriental Mindoro,5200
19-1234,Caelan ,Kirkpatrick,Klein,Student,cael@email.com,9123456789,3rd Year,BSIT,,Ibaba East,Calapan City,Oriental Mindoro,5200
20-1235,Shanelle ,Matthews,Alfaro,Student,shan@email.com,9123456789,2nd Year,BSED Science,,Ibaba West,Calapan City,Oriental Mindoro,5200
20-1233,Zhane ,Brandt,Boyle,Student,zhan@email.com,9123456789,1st Year,BSED Mathematics,,Bayanan,Calapan City,Oriental Mindoro,5200
18-0123,Milan ,Lutz,Allison,Student,milan@email.com,9123456790,1st Year,BSNED,,Bayanan,Calapan City,Oriental Mindoro,5200
20-9908,Veer ,Hastings,Byrd,Student,veer@email.com,9123456791,1st Year,BSED Mathematics,,Bayanan,Calapan City,Oriental Mindoro,5200
19-9382,Jaheim ,Beaumont,Sanderson,Student,jaheim@email.com,9123456792,1st Year,BSIS,,Bayanan,Calapan City,Oriental Mindoro,5200
19-9123,Nikita ,Erickson,Britt,Student,nikita@email.com,9123456793,1st Year,BSIS,,Tibag,Calapan City,Oriental Mindoro,5200
18-2312,Shane ,Elliott,Campbell,Student,shane@email.com,9123456794,1st Year,BSIS,,Balite,Calapan City,Oriental Mindoro,5200
20-1222,Miles ,Hirst,Easton,Student,miles@email.com,9123456795,1st Year,BSIS,,Lumangbayan,Calapan City,Oriental Mindoro,5200
20-1111,Ariella ,Cabrera,Huang,Student,ariella@email.com,9123456796,1st Year,BSHM,,Guinobatan,Calapan City,Oriental Mindoro,5200
20-1221,Jaidan ,Bloom,Phillips,Student,jaidan@email.com,9123456797,1st Year,BSHM,,Masipit,Calapan City,Oriental Mindoro,5200
20-9965,Melinda ,Sanderson,Velasquez,Student,melinda@email.com,9123456798,1st Year,BSHM,,Sapul,Calapan City,Oriental Mindoro,5200
20-0065,Tiernan ,Watts,Robles,Student,tiernan@email.com,9123456799,1st Year,BSHM,,San Antonio,Calapan City,Oriental Mindoro,5200
